iter	Passed	Remaining
405	7105	10396
406	7139	10402
407	7161	10391
408	7184	10381
409	7207	10371
410	7225	10354
411	7244	10339
412	7277	10343
413	7302	10336
414	7327	10328
415	7348	10316
416	7372	10306
417	7400	10304
418	7422	10291
419	7440	10274
420	7463	10264
421	7490	10259
422	7514	10250
423	7534	10235
424	7555	10222
425	7575	10207
426	7596	10194
427	7621	10186
428	7645	10176
429	7668	10165
430	7686	10147
431	7705	10131
432	7726	10117
433	7743	10099
434	7763	10084
435	7782	10066
436	7799	10048
437	7820	10034
438	7838	10017
439	7859	10003
440	7879	9987
441	7896	9969
442	7916	9954
443	7934	9935
444	7949	9914
445	7964	9892
446	7979	9872
447	7995	9851
448	8011	9830
449	8027	9810
450	8043	9791
451	8062	9775
452	8077	9753
453	8093	9733
454	8110	9714
455	8126	9695
456	8142	9674
457	8162	9659
458	8179	9640
459	8195	9620
460	8211	9600
461	8233	9588
462	8257	9577
463	8279	9564
464	8299	9548
465	8318	9531
466	8334	9512
467	8352	9494
468	8369	9476
469	8388	9459
470	8406	9442
471	8427	9427
472	8449	9414
473	8469	9398
474	8491	9385
475	8510	9368
476	8531	9354
477	8557	9345
478	8575	9327
479	8593	9309
480	8610	9290
481	8629	9274
482	8652	9261
483	8671	9244
484	8689	9227
485	8707	9209
486	8726	9191
487	8745	9175
488	8764	9158
489	8784	9143
490	8802	9124
491	8821	9108
492	8842	9093
493	8861	9077
494	8880	9059
495	8902	9046
496	8923	9031
497	8943	9015
498	8963	8999
499	8982	8982
500	9004	8968
501	9020	8948
502	9037	8930
503	9055	8912
504	9076	8897
505	9098	8882
506	9117	8865
507	9137	8850
508	9155	8831
509	9174	8815
510	9195	8799
511	9218	8786
512	9235	8767
513	9251	8747
514	9270	8730
515	9288	8712
516	9308	8695
517	9331	8682
518	9349	8665
519	9366	8645
520	9384	8628
521	9412	8619
522	9436	8606
523	9455	8589
524	9482	8579
525	9502	8563
526	9524	8548
527	9542	8530
528	9561	8513
529	9580	8495
530	9602	8481
531	9627	8469
532	9650	8455
533	9670	8439
534	9690	8422
535	9709	8405
536	9726	8386
537	9747	8370
538	9765	8352
539	9786	8337
540	9806	8320
541	9827	8304
542	9847	8287
543	9867	8270
544	9882	8250
545	9898	8230
546	9920	8215
547	9947	8204
548	9966	8187
549	9983	8168
550	9998	8147
551	10014	8128
552	10029	8107
553	10044	8086
554	10060	8066
555	10076	8046
556	10100	8033
557	10122	8018
558	10138	7998
559	10156	7980
560	10172	7960
561	10189	7940
562	10206	7921
563	10224	7904
564	10240	7883
565	10261	7868
566	10279	7850
567	10297	7832
568	10316	7814
569	10334	7796
570	10351	7777
571	10371	7760
572	10393	7745
573	10410	7726
574	10428	7708
575	10450	7692
576	10468	7674
577	10489	7658
578	10506	7639
579	10525	7622
580	10546	7605
581	10564	7587
582	10582	7569
583	10600	7550
584	10621	7534
585	10641	7517
586	10660	7500
587	10680	7483
588	10703	7468
589	10728	7455
590	10748	7438
591	10769	7422
592	10789	7405
593	10812	7390
594	10832	7373
595	10854	7357
596	10871	7338
597	10890	7320
598	10907	7302
599	10932	7288
600	10953	7272
601	10972	7254
602	10992	7237
603	11010	7218
604	11031	7202
605	11051	7185
606	11074	7170
607	11094	7153
608	11120	7139
609	11139	7121
610	11163	7107
611	11182	7089
612	11201	7071
613	11223	7055
614	11242	7038
615	11260	7019
616	11277	7000
617	11294	6981
618	11314	6964
619	11335	6947
620	11359	6932
621	11375	6913
622	11391	6893
623	11417	6879
624	11436	6861
625	11454	6843
626	11476	6827
627	11494	6808
628	11516	6792
629	11533	6773
630	11550	6754
631	11567	6735
632	11586	6717
633	11601	6697
634	11620	6679
635	11639	6661
636	11657	6643
637	11677	6625
638	11697	6608
639	11720	6592
640	11742	6576
641	11763	6559
642	11782	6541
643	11810	6528
644	11829	6510
645	11848	6492
646	11864	6473
647	11887	6457
648	11905	6438
649	11924	6421
650	11950	6406
651	11974	6391
652	11992	6372
653	12008	6353
654	12025	6334
655	12040	6314
656	12056	6294
657	12073	6275
658	12088	6255
659	12104	6235
660	12121	6216
661	12140	6198
662	12157	6179
663	12181	6164
664	12199	6145
665	12218	6127
666	12236	6109
667	12254	6090
668	12275	6073
669	12292	6054
670	12311	6036
671	12337	6021
672	12357	6004
673	12378	5987
674	12395	5968
675	12415	5950
676	12432	5931
677	12449	5912
678	12469	5895
679	12491	5878
680	12509	5859
681	12527	5841
682	12544	5822
683	12561	5803
684	12579	5784
685	12597	5766
686	12618	5748
687	12637	5730
688	12660	5714
689	12678	5696
690	12695	5677
691	12716	5660
692	12736	5642
693	12757	5625
694	12775	5606
695	12795	5588
696	12812	5569
697	12828	5550
698	12849	5532
699	12864	5513
700	12882	5494
701	12906	5478
702	12934	5464
703	12952	5445
704	12970	5427
705	12992	5410
706	13012	5392
707	13033	5375
708	13051	5356
709	13067	5337
710	13084	5318
711	13102	5299
712	13123	5282
713	13141	5264
714	13161	5246
715	13179	5227
716	13199	5209
717	13218	5191
718	13237	5173
719	13258	5156
720	13276	5137
721	13295	5119
722	13314	5101
723	13337	5084
724	13360	5067
725	13385	5051
726	13408	5035
727	13429	5017
728	13447	4998
729	13463	4979
730	13481	4961
731	13504	4944
732	13523	4926
733	13541	4907
734	13559	4888
735	13581	4871
736	13600	4853
737	13625	4837
738	13646	4819
739	13667	4802
740	13687	4784
741	13706	4765
742	13727	4748
743	13743	4729
744	13762	4710
745	13780	4692
746	13797	4673
747	13818	4655
748	13833	4635
749	13853	4617
750	13869	4598
751	13884	4579
752	13900	4559
753	13915	4540
754	13931	4520
755	13946	4501
756	13961	4481
757	13979	4463
758	13994	4443
759	14013	4425
760	14029	4406
761	14051	4388
762	14069	4370
763	14086	4351
764	14101	4331
765	14121	4313
766	14139	4295
767	14159	4277
768	14177	4258
769	14193	4239
770	14212	4221
771	14237	4204
772	14256	4186
773	14275	4168
774	14296	4150
775	14317	4132
776	14337	4114
777	14356	4096
778	14377	4078
779	14397	4060
780	14416	4042
781	14434	4023
782	14456	4006
783	14478	3989
784	14494	3969
785	14513	3951
786	14534	3933
787	14553	3915
788	14576	3898
789	14599	3880
790	14619	3862
791	14637	3844
792	14656	3825
793	14676	3807
794	14693	3788
795	14712	3770
796	14729	3751
797	14749	3733
798	14767	3715
799	14785	3696
800	14803	3677
801	14821	3659
802	14841	3641
803	14859	3622
804	14878	3604
805	14897	3585
806	14915	3567
807	14933	3548
808	14956	3531
809	14978	3513
810	15001	3496
811	15023	3478
812	15041	3459
813	15063	3442
814	15082	3423
815	15102	3405
816	15125	3387
817	15151	3371
818	15171	3352
819	15190	3334
820	15208	3315
821	15226	3297
822	15245	3278
823	15264	3260
824	15284	3242
825	15301	3223
826	15318	3204
827	15336	3185
828	15355	3167
829	15374	3149
830	15393	3130
831	15412	3112
832	15432	3093
833	15456	3076
834	15476	3058
835	15495	3039
836	15513	3021
837	15530	3002
838	15546	2983
839	15562	2964
840	15585	2946
841	15601	2927
842	15620	2909
843	15639	2890
844	15661	2872
845	15679	2854
846	15699	2836
847	15718	2817
848	15741	2799
849	15758	2780
850	15774	2761
851	15789	2742
852	15805	2723
853	15827	2705
854	15842	2686
855	15859	2667
856	15875	2648
857	15890	2629
858	15906	2610
859	15921	2591
860	15937	2572
861	15952	2553
862	15968	2534
863	15992	2517
864	16008	2498
865	16024	2479
866	16048	2461
867	16064	2442
868	16079	2424
869	16096	2405
870	16113	2386
871	16131	2367
872	16147	2349
873	16174	2331
874	16196	2313
875	16215	2295
876	16230	2276
877	16252	2258
878	16268	2239
879	16287	2221
880	16309	2202
881	16328	2184
882	16347	2166
883	16367	2147
884	16386	2129
885	16406	2111
886	16426	2092
887	16443	2073
888	16460	2055
889	16477	2036
890	16495	2017
891	16512	1999
892	16532	1980
893	16551	1962
894	16575	1944
895	16602	1927
896	16622	1908
897	16643	1890
898	16663	1872
899	16681	1853
900	16698	1834
901	16720	1816
902	16737	1797
903	16757	1779
904	16776	1761
905	16796	1742
906	16813	1723
907	16836	1705
908	16855	1687
909	16874	1668
910	16892	1650
911	16909	1631
912	16927	1613
913	16950	1594
914	16971	1576
915	16992	1558
916	17012	1539
917	17036	1521
918	17062	1503
919	17092	1486
920	17120	1468
921	17148	1450
922	17168	1432
923	17187	1413
924	17211	1395
925	17234	1377
926	17258	1359
927	17278	1340
928	17305	1322
929	17330	1304
930	17364	1286
931	17394	1269
932	17420	1250
933	17443	1232
934	17473	1214
935	17493	1196
936	17521	1178
937	17545	1159
938	17563	1140
939	17585	1122
940	17608	1104
941	17628	1085
942	17650	1066
943	17670	1048
944	17689	1029
945	17710	1010
946	17727	992
947	17747	973
948	17763	954
949	17779	935
950	17794	916
951	17809	897
952	17830	879
953	17849	860
954	17871	842
955	17887	823
956	17903	804
957	17928	785
958	17946	767
959	17961	748
960	17977	729
961	17993	710
962	18008	691
963	18024	673
964	18039	654
965	18055	635
966	18071	616
967	18089	597
968	18105	579
969	18121	560
970	18149	542
971	18166	523
972	18186	504
973	18203	485
974	18222	467
975	18240	448
976	18256	429
977	18273	411
978	18295	392
979	18313	373
980	18331	355
981	18349	336
982	18368	317
983	18385	298
984	18403	280
985	18424	261
986	18443	242
987	18460	224
988	18477	205
989	18495	186
990	18515	168
991	18532	149
992	18551	130
993	18573	112
994	18592	93
995	18610	74
996	18632	56
997	18651	37
998	18670	18
999	18693	0
